Player,Position
Nathan Aké,D (CL)
Joachim Andersen,D (C)
Eric Bailly,D (C)
Mads Bech Sørensen,D (CL)
Jan Bednarek,D (CR)
Jarrad Branthwaite,D (CR)
Craig Cathcart,D (CR)
Andreas Christensen,D (CR)
Ciaran Clark,D (C)
Conor Coady,D (C)
Liam Cooper,D (CL)
Charlie Cresswell,D (C)
Thiago Silva,D (C)
Craig Dawson,D (C)
Eric Dier,D (C)
Issa Diop,D (C)
Gabriel,D (C)
Shane Duffy,D (C)
Paul Dummett,D (CL)
Lewis Dunk,D (CL)
Jonny Evans,D (C)
Federico Fernández,D (C)
Ben Gibson,D (C)
Ben Godfrey,D (CL)
Toti Gomes,D (CL)
Joe Gomez,D (C)
Marc Guéhi,D (CL)
Grant Hanley,D (C)
Kortney Hause,D (CL)
Rob Holding,D (CR)
Mason Holgate,D (CR)
Pontus Jansson,D (CR)
Mathias Jørgensen,D (CR)
Phil Jones,D (CR)
Ozan Kabak,D (C)
Christian Kabasele,D (C)
Michael Keane,D (C)
Robin Koch,"D, M (C)"
Ibrahima Konaté,D (C)
Ezri Konsa,D (CR)
Cheikhou Kouyaté,"D, M (C)"
Aymeric Laporte,D (C)
Jamaal Lascelles,D (C)
Victor Lindelof,D (C)
Diego Llorente,D (C)
Harry Maguire,D (C)
Pablo Marí,D (C)
Joël Matip,D (C)
Benjamin Mee,D (C)
Yerry Mina,D (C)
Tyrone Mings,D (C)
Nicolas Nkoulou,D (C)
Angelo Ogbonna,D (C)
Andrew Omobamidele,D (C)
Joe Rodon,D (C)
Cristian Romero,D (C)
Davinson Sánchez,D (CR)
Çağlar Söyüncü,D (CL)
Mohammed Salisu,D (CL)
Rúben Dias,D (C)
Fabian Schär,D (CR)
Francisco Sierralta,D (C)
Lyanco,D (CR)
Jack Stephens,D (CL)
John Stones,D (C)
Pascal Struijk,"D, DM (C)"
James Tarkowski,D (C)
James Tomkins,D (C)
William Troost-Ekong,D (C)
Axel Tuanzebe,D (CR)
Virgil van Dijk,D (C)
Raphaël Varane,D (C)
Kristoffer Ajer,D (CR)
Jannik Vestergaard,D (CL)
Ben White,D (CR)
Kurt Zouma,D (CL)
Unai Dufur,D (C)
Luis Abram,D (CL)
Joseph Aidoo,D (CR)
David Alaba,D (CL)
Raul Albiol,D (C)
Omar Alderete,D (C)
Yeray Álvarez,D (C)
Hugo Álvarez,D (C)
Ronald Araújo,D (CR)
Néstor Araujo,D (C)
Marc Bartra,D (C)
Pedro Bigas,D (CL)
Erick Cabaco,D (CR)
Leandro Cabrera,D (C)
Gonzalo Verdú,D (C)
Fernando Calero,D (C)
Catena,D (C)
Víctor Chust,D (C)
Eray Cömert,D (CR)
Jorge Cuenca,D (C)
Gabriel Paulista,D (C)
Felipe,D (CL)
Mouctar Diakhaby,D (C)
Dakonam Djené,D (C)
Carlos Dominguez,D (C)
Óscar Duarte,D (C)
Aritz Elustondo,D (CR)
Nacho Fernandez,D (CR)
Unai García,D (C)
Eric Garcia,D (C)
David García,D (C)
Josep Antoni Gayá,D (C)
José Maria Giménez,D (CL)
Kike Hermoso,D (C)
Sergi Gómez,D (C)
Diego González,D (CL)
Hugo Guillamón,"D, M (C)"
Varazdat Haroyan,D (C)
Luis Hernández,D (C)
Aridane Hernández,D (C)
Ruben Lendinez,D
Fali Jiménez,"D, M (C)"
Jules Koundé,D (CR)
Laguardia,D (C)
Robin Le Normand,D (C)
Florian Lejeune,D (C)
Clément Lenglet,D (CL)
Marcos López,D (C)
Aïssa Mandi,D (C)
Nikola Maraš,D (C)
Íñigo Martínez,D (C)
Matt Miazga,D (C)
Éder Militão,D (C)
Stefan Mitrović,D (CL)
Cristhian Mosquera,D (C)
Jeison Murillo,D (C)
Shkodran Mustafi,D (CR)
Rúben Vezo,D (C)
Unai Núñez,D (C)
Jon Pacheco,D (C)
Germán Pezzella,D (C)
Gerard Pique,D (CL)
Postigo,D (C)
Antonio Raíllo,D (C)
Jonas Ramalho,D (CR)
Lluís Recasens,D
Karim Rekik,D (CL)
Enzo Roco,D (C)
Tachi,D (C)
Chema,D (CL)
Víctor Ruíz,D (C)
Franco Russo,D (C)
Germán,D (C)
Rubén,D
Diego Carlos,D (C)
Esteban Saveljich,D (C)
