,Player,Comp,Share of Total Team Touches,Progressive Actions,% of Defensive Actions in Middle 3rd,Def Pen Percentile
0,Max Aarons,Premier League,0.5800000000000001,0.85,0.21000000000000002,0.38
1,Ben Gibson,Premier League,,,,
2,Grant Hanley,Premier League,,,,
3,Yunis Abdelhamid,Ligue 1,,,,
4,Wout Faes,Ligue 1,,,,
5,Thomas Foket,Ligue 1,0.87,0.55,0.86,0.9500000000000001
6,Andrew Gravillon,Ligue 1,,,,
7,Ghislain Konan,Ligue 1,,,,
8,Cédric Hountondji,Ligue 1,0.38,0.02,0.27,0.86
9,Vital N'Simba,Ligue 1,,,,
10,Florent Ogier,Ligue 1,,,,
11,Akim Zedadka,Ligue 1,,,,
12,Julien Laporte,Ligue 1,,,,
13,Vincent Le Goff,Ligue 1,,,,
14,Houboulang Mendes,Ligue 1,,,,
15,Nayef Aguerd,Ligue 1,,,,
16,Warmed Omari,Ligue 1,,,,
17,Hamari Traoré,Ligue 1,,,,
18,Roger Ibanez,Serie A,,,,
19,Rick Karsdorp,Serie A,,,,
20,Gianluca Mancini,Serie A,,,,
21,Matías Viña,Serie A,,,,
22,Carlos Neva,La Liga,,,,
23,Germán Sánchez,La Liga,,,,
24,Francesco Acerbi,Serie A,,,,
25,Luiz Felipe,Serie A,,,,
26,Elseid Hysaj,Serie A,0.56,0.38,0.18000000000000002,0.56
27,Adam Marušić,Serie A,,,,
28,Martin Hinteregger,Bundesliga,,,,
29,Obite N'Dicka,Bundesliga,,,,
30,Marcos Acuña,La Liga,,,,
31,Diego Carlos,La Liga,,,,
32,Jules Koundé,La Liga,,,,
33,Jan Bednarek,Premier League,,,,
34,Valentino Livramento,Premier League,,,,
35,Mohammed Salisu,Premier League,,,,
36,Angeliño,Bundesliga,,,,
37,Joško Gvardiol,Bundesliga,,,,
38,Willi Orban,Bundesliga,,,,
39,David Raum,Bundesliga,,,,
40,Kevin Vogt,Bundesliga,0.09,0.12,0.55,0.72
41,Jeremie Frimpong,Bundesliga,,,,
42,Jonathan Tah,Bundesliga,0.2,0.5800000000000001,0.25,0.21000000000000002
43,Enock Kwateng,Ligue 1,0.14,0.51,0.6,0.49
44,Ricardo Mangas,Ligue 1,,,,
45,Lorenzo De Silvestri,Serie A,,,,
46,Aaron Hickey,Serie A,,,,
47,Gary Medel,Serie A,0.81,0.9400000000000001,0.72,0.17
48,Arthur Theate,Serie A,,,,
49,Mikel Balenziaga,La Liga,,,,
50,Iñigo Lekue,La Liga,,,,
51,Iñigo Martínez,La Liga,,,,
52,Brendan Chardonnet,Ligue 1,,,,
53,Jean-Kevin Duverne,Ligue 1,,,,
54,Ronaël Pierre-Gabriel,Ligue 1,,,,
55,Kelvin Amian,Serie A,,,,
56,Martin Erlic,Serie A,,,,
57,Dimitris Nikolaou,Serie A,,,,
58,Jordi Alba,La Liga,,,,
59,Gerard Piqué,La Liga,,,,
60,Axel Disasi,Ligue 1,,,,
61,Guillermo Maripán,Ligue 1,,,,
62,Caio Henrique Oliveira Silva,Ligue 1,,,,
63,Iván Balliu,La Liga,,,,
64,Catena,La Liga,,,,
65,Francisco Garcia,La Liga,,,,
66,Esteban Saveljich,La Liga,,,,
67,Waldemar Anton,Bundesliga,,,,
